product,price,location
Gyro Chicken over Cajun Fries,379,Wari
Gyro Chicken over Cajun Fries,379,Banani
Gyro Chicken over Cajun Fries,379,Dhanmondi
Gyro Chicken over Cajun Fries,379,Mirpur
Gyro Chicken over Cajun Fries,379,Uttara
Gyro Chicken over Cajun Fries,379,Bailey Road
Gyro Chicken over Cajun Fries,379,Sylhet
Gyro Chicken over Cajun Fries,379,Bashundhara
Gyro Chicken over Cajun Fries,379,Gulshan
Crispy Chicken & Bacon,439,Wari
Crispy Chicken & Bacon,439,Banani
Crispy Chicken & Bacon,439,Dhanmondi
Crispy Chicken & Bacon,439,Mirpur
Crispy Chicken & Bacon,439,Uttara
Crispy Chicken & Bacon,439,Bailey Road
Crispy Chicken & Bacon,439,Sylhet
Crispy Chicken & Bacon,439,Bashundhara
Crispy Chicken & Bacon,439,Gulshan
Shah Poutine,379,Wari
Shah Poutine,379,Banani
Shah Poutine,379,Dhanmondi
Shah Poutine,379,Mirpur
Shah Poutine,379,Uttara
Shah Poutine,379,Bailey Road
Shah Poutine,379,Sylhet
Shah Poutine,379,Bashundhara
Shah Poutine,379,Gulshan
Roast Chicken,329,Wari
Roast Chicken,329,Banani
Roast Chicken,329,Dhanmondi
Roast Chicken,329,Mirpur
Roast Chicken,329,Uttara
Roast Chicken,329,Bailey Road
Roast Chicken,329,Sylhet
Roast Chicken,329,Bashundhara
Roast Chicken,329,Gulshan
Gyro Chicken over Rice,399,Wari
Gyro Chicken over Rice,399,Banani
Gyro Chicken over Rice,399,Dhanmondi
Gyro Chicken over Rice,399,Mirpur
Gyro Chicken over Rice,399,Uttara
Gyro Chicken over Rice,399,Bailey Road
Gyro Chicken over Rice,399,Sylhet
Gyro Chicken over Rice,399,Bashundhara
Gyro Chicken over Rice,399,Gulshan
Spicy Basil Chicken,349,Wari
Spicy Basil Chicken,349,Banani
Spicy Basil Chicken,349,Dhanmondi
Spicy Basil Chicken,349,Mirpur
Spicy Basil Chicken,349,Uttara
Spicy Basil Chicken,349,Bailey Road
Spicy Basil Chicken,349,Sylhet
Spicy Basil Chicken,349,Bashundhara
Spicy Basil Chicken,349,Gulshan
Creamy Mushroom Stuffed Chicken,497,Wari
Creamy Mushroom Stuffed Chicken,497,Banani
Creamy Mushroom Stuffed Chicken,497,Dhanmondi
Creamy Mushroom Stuffed Chicken,497,Mirpur
Creamy Mushroom Stuffed Chicken,497,Uttara
Creamy Mushroom Stuffed Chicken,497,Bailey Road
Creamy Mushroom Stuffed Chicken,497,Sylhet
Creamy Mushroom Stuffed Chicken,497,Bashundhara
Creamy Mushroom Stuffed Chicken,497,Gulshan
Achari Fried Rice,299,Wari
Achari Fried Rice,299,Banani
Achari Fried Rice,299,Dhanmondi
Achari Fried Rice,299,Mirpur
Achari Fried Rice,299,Uttara
Achari Fried Rice,299,Bailey Road
Achari Fried Rice,299,Sylhet
Achari Fried Rice,299,Bashundhara
Achari Fried Rice,299,Gulshan
Mango Habanero Grilled Chicken,649,Wari
Mango Habanero Grilled Chicken,649,Banani
Mango Habanero Grilled Chicken,649,Dhanmondi
Mango Habanero Grilled Chicken,649,Mirpur
Mango Habanero Grilled Chicken,649,Uttara
Mango Habanero Grilled Chicken,649,Bailey Road
Mango Habanero Grilled Chicken,649,Sylhet
Mango Habanero Grilled Chicken,649,Bashundhara
Mango Habanero Grilled Chicken,649,Gulshan
Creamcheez Stuffed Chicken,699,Wari
Creamcheez Stuffed Chicken,699,Banani
Creamcheez Stuffed Chicken,699,Dhanmondi
Creamcheez Stuffed Chicken,699,Mirpur
Creamcheez Stuffed Chicken,699,Uttara
Creamcheez Stuffed Chicken,699,Bailey Road
Creamcheez Stuffed Chicken,699,Sylhet
Creamcheez Stuffed Chicken,699,Bashundhara
Creamcheez Stuffed Chicken,699,Gulshan
Mad Monster,649,Wari
Mad Monster,649,Banani
Mad Monster,649,Dhanmondi
Mad Monster,649,Mirpur
Mad Monster,649,Uttara
Mad Monster,649,Bailey Road
Mad Monster,649,Sylhet
Mad Monster,649,Bashundhara
Mad Monster,649,Gulshan
Chicken Steak Meal,419,Wari
Chicken Steak Meal,419,Banani
Chicken Steak Meal,419,Dhanmondi
Chicken Steak Meal,419,Mirpur
Chicken Steak Meal,419,Uttara
Chicken Steak Meal,419,Bailey Road
Chicken Steak Meal,419,Sylhet
Chicken Steak Meal,419,Bashundhara
Chicken Steak Meal,419,Gulshan
Strawberry Caipirinha,279,Wari
Strawberry Caipirinha,279,Banani
Strawberry Caipirinha,279,Dhanmondi
Strawberry Caipirinha,279,Mirpur
Strawberry Caipirinha,279,Uttara
Strawberry Caipirinha,279,Bailey Road
Strawberry Caipirinha,279,Sylhet
Strawberry Caipirinha,279,Bashundhara
Strawberry Caipirinha,279,Gulshan
Lime Refreshmint,179,Wari
Lime Refreshmint,179,Banani
Lime Refreshmint,179,Dhanmondi
Lime Refreshmint,179,Mirpur
Lime Refreshmint,179,Uttara
Lime Refreshmint,179,Bailey Road
Lime Refreshmint,179,Sylhet
Lime Refreshmint,179,Bashundhara
Lime Refreshmint,179,Gulshan
Honey Limade,219,Wari
Honey Limade,219,Banani
Honey Limade,219,Dhanmondi
Honey Limade,219,Mirpur
Honey Limade,219,Uttara
Honey Limade,219,Bailey Road
Honey Limade,219,Sylhet
Honey Limade,219,Bashundhara
Honey Limade,219,Gulshan
Lemon Iced Tea,179,Wari
Lemon Iced Tea,179,Banani
Lemon Iced Tea,179,Dhanmondi
Lemon Iced Tea,179,Mirpur
Lemon Iced Tea,179,Uttara
Lemon Iced Tea,179,Bailey Road
Lemon Iced Tea,179,Sylhet
Lemon Iced Tea,179,Bashundhara
Lemon Iced Tea,179,Gulshan
Just Milo,299,Wari
Just Milo,299,Banani
Just Milo,299,Dhanmondi
Just Milo,299,Mirpur
Just Milo,299,Uttara
Just Milo,299,Bailey Road
Just Milo,299,Sylhet
Just Milo,299,Bashundhara
Just Milo,299,Gulshan
Cake In My Shake,399,Wari
Cake In My Shake,399,Banani
Cake In My Shake,399,Dhanmondi
Cake In My Shake,399,Mirpur
Cake In My Shake,399,Uttara
Cake In My Shake,399,Bailey Road
Cake In My Shake,399,Sylhet
Cake In My Shake,399,Bashundhara
Cake In My Shake,399,Gulshan
Nutella Madness,349,Wari
Nutella Madness,349,Banani
Nutella Madness,349,Dhanmondi
Nutella Madness,349,Mirpur
Nutella Madness,349,Uttara
Nutella Madness,349,Bailey Road
Nutella Madness,349,Sylhet
Nutella Madness,349,Bashundhara
Nutella Madness,349,Gulshan
Peanut Butter,349,Wari
Peanut Butter,349,Banani
Peanut Butter,349,Dhanmondi
Peanut Butter,349,Mirpur
Peanut Butter,349,Uttara
Peanut Butter,349,Bailey Road
Peanut Butter,349,Sylhet
Peanut Butter,349,Bashundhara
Peanut Butter,349,Gulshan
Cookies n' Cream,299,Wari
Cookies n' Cream,299,Banani
Cookies n' Cream,299,Dhanmondi
Cookies n' Cream,299,Mirpur
Cookies n' Cream,299,Uttara
Cookies n' Cream,299,Bailey Road
Cookies n' Cream,299,Sylhet
Cookies n' Cream,299,Bashundhara
Cookies n' Cream,299,Gulshan
French Vanilla Latte,299,Wari
French Vanilla Latte,299,Banani
French Vanilla Latte,299,Dhanmondi
French Vanilla Latte,299,Mirpur
French Vanilla Latte,299,Uttara
French Vanilla Latte,299,Bailey Road
French Vanilla Latte,299,Sylhet
French Vanilla Latte,299,Bashundhara
French Vanilla Latte,299,Gulshan
